step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.981212069978604,0,0.0,0.9539788360450516,0,0.0,0.9531921923306059,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9463761595663047,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9591859220451329,0,0.0,0.9515851131737239,0,0.0,0.9585838217165632,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9553905711716046,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.03791158929635,0,0.0,0.9643115799118734,0,0.0,0.9639951649088521,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9582533370601668,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9659408338044644,0,0.0,0.9620646047323617,0,0.0,0.9661119650432382,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9661100034252208,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,11.021944850207614,0,0.0,0.7733519130841507,0,0.0,0.9648257477967356,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8103972132751522,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9761561185379334,0,0.0,0.9541555763687646,0,0.0,0.6626949592195935,0,0.0,0.9344153906456993,0,0.0,0.9537243165796281,0,0.0,0.9341834878794427,1,1.0,0.6358932772807513,0,0.0,1.0,1,1.0
20.0,6,22.0,0.39285714285714285,10.27533059079032,2,8.0,0.6202492106417565,0,0.0,0.9508938716117765,0,0.0,1.0,0,0.0,1.0,2,4.0,0.5256655580655004,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.942498499110666,0,0.0,0.9611310162609257,2,10.0,0.6378224747836501,0,0.0,0.9749539438261831,0,0.0,0.9389432434981831,0,0.0,0.9777541535561026,0,0.0,0.7005266234715138,0,1.0,0.4105977077194175,6,23.0
25.0,14,73.0,1.0138888888888888,10.451091897313328,5,26.0,0.5970788677231584,0,0.0,0.9711334362460177,0,0.0,0.9491320228404775,0,0.0,0.9753166321604492,4,19.0,0.3959173115125011,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9746839173342486,0,0.0,0.955512639303499,5,28.0,0.587332337604037,0,0.0,0.9595112715459241,0,0.0,0.9773954200512905,0,0.0,0.9653848214710494,0,0.0,0.9704011414497056,0,3.0,0.8608062911452502,14,76.0
30.0,18,154.0,1.925,9.437206378294105,6,52.0,0.40723798946031065,0,0.0,0.9402884008006116,0,0.0,0.958610871359433,0,0.0,0.9580810963690574,6,47.0,0.2701285327453708,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.952122094362212,0,0.0,0.934512492836071,6,55.0,0.4362660154489469,0,0.0,0.9454727742631326,0,0.0,0.9429527369536164,0,0.0,0.9344037252756147,0,0.0,0.8776754690544628,0,3.0,0.9168641472602794,18,157.0
35.0,19,189.0,1.96875,8.77974426766653,8,89.0,0.4152037614392048,0,0.0,0.9505967341565225,0,0.0,0.9587594902318913,0,0.0,0.9634778812093162,2,44.0,0.46405869184942206,0,2.0,0.7349733547483321,0,0.0,0.9809315774512056,0,0.0,0.9753166321604492,0,0.0,0.9303115325323231,0,0.0,0.9582781691513194,7,90.0,0.389552160020663,0,0.0,0.9508364357507502,0,0.0,0.9407488051939201,0,0.0,0.9420935864127483,2,3.0,0.7144998486222418,0,3.0,0.3248594642933325,19,231.0
40.0,27,302.0,2.6964285714285716,9.21205734033541,9,134.0,0.3832143953284115,0,0.0,0.9695207153662363,0,0.0,0.9376358182043104,0,0.0,0.9421762584689426,0,5.0,0.7668128370806997,0,4.0,0.82940641826017,0,0.0,0.9730452317802315,0,0.0,0.962659938968551,0,0.0,0.9827906163457466,0,0.0,0.9643391714574449,9,135.0,0.3557310686073624,0,0.0,0.982385829249238,0,0.0,0.9664994388638599,0,0.0,0.9800609111963876,3,15.0,0.6254567751650394,6,21.0,0.3062121020275591,27,314.0
45.0,31,323.0,2.691666666666667,8.518271992393622,6,124.0,0.3423441149749311,0,4.0,0.7692144731650501,0,0.0,0.9490208259820846,0,0.0,0.9633766838623155,2,9.0,0.5563720595530459,0,4.0,0.8487902580708997,0,0.0,0.9612188092437187,0,0.0,0.9707462539820979,0,0.0,0.9732647347797402,0,0.0,0.9669247800671616,12,189.0,0.30179894028327386,0,0.0,0.9221398367892222,0,0.0,0.9275555453295632,0,0.0,0.932855957509236,5,36.0,0.4783186612841192,6,51.0,0.3709340750755152,31,417.0
50.0,34,428.0,3.1470588235294117,8.476065440326146,2,58.0,0.4896262191715961,0,4.0,0.9015451955030679,0,0.0,0.9373362038674357,0,0.0,0.9123047523793124,6,29.0,0.4689662590162185,0,4.0,0.5453818236145028,0,0.0,0.9444888268746275,0,0.0,0.9724596542792199,0,0.0,0.9599339253224218,0,0.0,0.9567740822987252,13,254.0,0.21624641862747873,0,0.0,0.922539158021581,0,0.0,0.9516324471453134,0,0.0,0.9761649528946277,7,67.0,0.41183593378171646,6,81.0,0.43709588763559903,34,497.0
